getPrice	cultureId	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
goodsId	int	英国	法兰德斯	德国	北欧	葡萄牙	西班牙	意大利	希腊	土耳其	埃及	西非	东非	阿拉伯	印度	印度支那	印尼	中国	朝鲜	日本	加勒比海	墨西哥
0	小麦	800	750	1000	950	1200	1150	750	700	880	1250	1600	1700	1250	1350	1400	1500	1600	1650	1650	1500	1550
1	水稻	1230	1200	1200	1250	1500	1550	1450	1350	1400	1350	1750	1650	950	770	750	850	920	1200	900	1400	1350
2	玉米	1550	1350	1450	1500	1450	1450	1400	1400	1450	1420	1850	1900	1600	1700	1880	1900	1980	2000	2030	1200	750
3	马铃薯	910	850	770	720	830	850	960	1100	1130	1150	1750	1800	1500	1550	1700	1720	1800	1900	1950	840	870
4	大豆	1250	1140	1220	1280	1000	950	820	860	750	1220	1800	1850	1400	1400	1150	1250	910	1000	1300	1540	1590
5	鱼	700	700	600	600	740	770	870	840	800	700	1080	1100	1020	780	1000	980	1100	1150	1170	700	900
6	牛肉	1150	1250	1150	1250	1250	1280	1450	1350	1300	1250	1600	1700	1400	70	850	950	1550	1650	350	1450	1400
7	南瓜	1400	1450	1200	1400	1300	1320	1400	1450	1420	1400	1900	1950	1600	1500	1210	1300	1300	1350	1400	850	800
8	奶酪	1250	1150	1280	1250	1200	1200	1350	1350	1200	1100	1550	1550	1370	1370	1400	1400	1400	1400	1200	1570	1600
9	番茄	1400	1400	1450	1450	1400	1350	1350	1400	1350	1400	1450	1500	1550	1550	1500	1550	1400	1400	1400	800	750
10	香蕉	1500	1520	1450	1450	1420	1400	1350	1400	1500	1350	1350	1300	1280	1250	880	800	1200	1320	1300	1020	1020
11	糖	1550	1600	1680	1700	1350	1400	1550	1450	1640	1660	1550	2100	1700	1520	2120	2350	3050	3300	3400	1000	1300
12	蜂蜜	1700	1750	1830	1850	1650	1450	1500	1650	1700	1750	1900	2100	1420	1720	2300	2500	3100	3350	3450	2370	2500
13	盐	1300	1200	1350	1400	800	820	1370	1420	1370	1070	1100	1600	1360	1500	1620	1600	1380	1480	1530	1820	1850
14	橄榄油	720	1200	870	850	640	600	630	1220	1150	1200	1050	1000	1150	1200	1200	1200	1200	1200	1200	1350	1450
15	椰子油	700	850	750	700	550	850	900	800	840	860	550	880	360	500	700	750	800	800	800	650	600
16	生姜	3100	3000	3100	3200	2900	2900	3000	2900	2900	2800	2600	2400	2200	1900	1000	1200	1800	2000	2000	3500	3600
17	荔枝	1400	1400	1400	1450	1300	1300	1350	1400	1400	1350	1040	1000	1000	820	700	600	900	880	820	1500	1500
18	榛果	1480	1480	1500	1550	1400	1400	1400	1480	1450	1350	1250	1250	1170	1150	1000	1000	800	500	800	1500	1550
19	葡萄干	520	500	430	450	370	550	450	370	550	450	700	850	750	780	750	750	720	720	720	800	850
20	鱼子酱	3000	2950	3000	3100	2800	2700	2600	2500	2500	2000	1500	1600	1700	1750	1800	1800	2000	2000	2000	3200	3100
21	鱼翅	1900	1900	1900	2000	1700	1700	1700	1700	1700	1700	1650	1650	2000	2600	2500	2500	2600	2650	2650	1500	1500
22	胡椒	8750	8550	8800	8850	7550	7600	7500	7500	7200	6850	3400	2800	2350	1650	1400	1300	1600	1600	1600	7700	7650
23	丁香	8900	8700	8800	9000	7550	7600	7700	7650	7650	6950	3500	2950	2450	1700	1400	1300	1500	1530	1520	7700	7700
24	豆蔻	6800	6600	6800	6900	5450	5350	5500	5450	4600	4400	3000	2700	2150	1500	1300	1200	1350	1350	1350	5650	5620
25	肉桂	8600	8450	8650	8700	7400	7350	7200	7300	7000	6550	3250	2720	2220	1600	1350	1250	1450	1500	1550	7550	7600
26	甜椒	3450	3600	3550	3700	3300	3150	3350	3300	3400	2900	2300	2100	2400	2700	2850	2900	3080	3100	3200	1350	1150
27	罗望子	3100	3100	3150	3200	2700	2700	2950	3000	3050	2800	1600	1700	1400	1200	800	950	1700	1720	1630	3200	3320
28	藏红花	1750	1650	1800	1900	1550	1650	1750	1750	1800	1770	1850	2450	2960	3100	3200	3200	3320	3245	3220	2460	2600
29	香草	3500	3500	3600	3800	3350	3300	3550	3600	3750	3350	2900	2200	1750	1300	1250	1200	1450	1450	1450	1400	1050
30	辣椒	3300	3250	3400	3450	3200	3100	3250	3350	3100	2500	2250	2600	3400	4050	4450	4550	4800	5600	4900	1050	1000
31	咖啡	3650	3500	3550	3600	3400	3450	3500	3450	3700	3550	1850	1780	2800	2350	1750	1650	1760	1750	1740	1800	1750
32	茶叶	6200	6000	5750	5850	4600	4580	4900	4400	3300	2950	2200	2270	2300	2250	2350	1950	1900	2100	2450	2020	2200
33	可可豆	3450	3400	3550	3620	3300	3280	3500	3500	3550	3450	2800	3250	3750	4000	4250	4150	4260	4250	4230	1550	1400
34	烟草	3680	3600	3700	3500	3600	3600	3650	3300	3850	3500	3000	2950	3150	3250	3400	3400	3750	3700	3800	1250	1600
35	葡萄酒	1550	980	1400	1650	1200	1300	1250	1500	950	1050	1300	1400	950	1150	1200	1300	1580	1700	1600	2100	2350
36	白兰地	1400	1500	1000	1250	1580	1600	1750	1700	50	750	1240	700	50	750	1500	1000	2100	2100	2000	2000	2050
37	朗姆酒	1280	1270	1350	1450	1250	1220	1100	1050	50	700	1300	800	50	850	1600	1150	2000	2050	1950	1050	1150
38	清酒	2000	2000	2000	2000	1900	1900	2000	1900	50	600	1200	700	50	800	1800	1700	1600	1700	1800	1700	1700
39	黄金	9000	9000	9000	9000	9000	9000	9000	9000	9000	8900	6100	6100	9000	8900	8950	8850	9000	9000	9000	7000	6500
40	白银	4500	4500	4450	4500	4500	4450	4500	4500	4500	4500	3900	4350	4400	4350	3700	3650	3400	3300	2850	3000	2900
41	白金	9500	9450	9500	9600	9200	9300	9400	9500	9450	9300	6500	7000	9500	9200	9400	9300	9550	9500	9500	8300	8200
42	玻璃	1750	1500	1900	1800	2000	1950	1700	1750	1800	1750	2750	2800	2650	2950	3700	3800	4050	4150	4400	2750	2950
43	陶瓷	4500	4200	4300	4400	4450	4300	4400	4300	4100	4200	3700	3500	3400	3250	2900	2850	2500	2100	2800	5550	5650
44	漆器	3300	3300	3350	3300	3220	2980	2950	3000	3050	3000	2450	2350	2200	2100	1970	1750	1600	1550	1400	3050	3100
45	象牙工艺	2350	2250	2350	2450	2050	1900	1500	1650	1800	1900	2100	2300	2500	2550	2600	2550	1940	1900	1700	2750	2850
46	黄金工艺	2900	2800	3000	3300	2500	2450	2400	2200	2100	1800	2000	2400	3000	3400	3600	3600	3700	3800	4000	3500	3600
47	羊毛	850	1450	1750	1600	1650	1700	1800	1550	1400	1100	900	950	1000	1400	1200	900	1250	1200	1000	1350	1650
48	棉花	1400	1400	1400	1300	1100	1150	1450	1220	1050	620	950	1050	1100	650	720	780	785	950	980	1220	1250
49	丝绸	4000	4000	4150	4000	3900	3850	4100	3850	3550	3450	2750	2700	2600	2400	2300	2200	2100	1600	2150	4100	4200
50	亚麻	1050	900	1150	1100	1000	950	1050	1130	1050	700	1220	1170	1120	1100	1050	1100	1120	1160	1150	1280	1280
51	毛织品	1550	1750	1800	2000	1950	1850	1550	1850	1600	1550	1450	1550	1750	1650	2050	2100	2900	3400	3200	1700	1900
52	棉织品	1500	1500	1550	1600	1400	1300	1300	1500	1500	1550	1900	1950	1400	1200	1400	1700	1650	1650	1700	1950	1950
53	丝织品	5800	5600	6050	6300	5220	5220	4850	5000	4800	4750	3600	3400	3050	2950	2800	2750	2300	2100	2700	5900	6000
54	麻织品	1350	1320	1300	1300	1210	1100	1190	1150	1200	1300	1550	1600	1200	1320	1400	1400	1500	1550	1550	1650	1800
55	绒织品	5150	5050	5200	5350	4650	4600	4450	3400	3150	2850	2500	2400	2200	2450	2800	3000	4400	4350	4300	5100	5300
56	纱布	6000	5950	6050	6050	5100	5050	5000	4400	4050	3900	2800	2600	2400	1850	2300	2400	3400	3600	3700	6250	6400
57	天鹅绒	2200	2150	2250	2400	1950	1800	1900	2100	2200	2300	2500	3000	3500	4000	4300	4500	5000	5300	5500	2900	3100
58	古董品	4650	4850	4550	4600	4750	4750	4980	4450	4250	4550	2350	2400	3250	2700	2450	2500	4450	3650	3500	3900	4000
59	毛皮	2100	2150	2050	1850	2300	2350	2500	2100	2200	2050	1950	1750	2150	2250	2150	2150	2550	2500	2500	1900	2200
60	绘画	4800	4700	4650	4750	4400	4350	4550	4650	4200	4250	2000	2050	3800	3550	2600	2600	2650	2700	2700	4600	4650
61	雕刻	4750	4600	4600	4620	4350	4150	4100	4750	3850	3950	1850	1850	4350	4100	3750	2850	3700	3800	3500	4750	4950
62	麝香	5650	5500	5450	5600	5250	5200	5350	5250	5400	5300	3450	2950	3000	2800	3000	2500	2200	2450	2650	5700	5750
63	乳香	4300	4300	4400	4450	4100	4100	4200	4200	4300	3150	2350	2300	2500	3000	3000	3300	3750	3550	3450	4350	4450
64	龙延香	2900	2850	3000	3100	2500	2450	2550	2300	2700	2600	2100	2150	2500	2100	2400	2000	2400	2350	2400	2500	2600
65	白檀	2800	2700	2800	2800	2650	2600	2700	2600	2700	2700	2600	2500	2400	2300	1500	1350	2200	2400	2300	2900	2900
66	翡翠	4200	4200	4200	4200	4200	4200	4200	4200	4200	4200	4400	4600	4900	5450	5250	5050	4650	4850	4950	4600	4900
67	象牙	4500	4400	4550	4620	4300	4320	4370	4350	4200	3200	2450	2250	3200	2500	2700	2600	4050	4200	4360	4470	4600
68	珊瑚	4200	4250	4400	4400	4000	4050	4200	4150	2650	2800	1950	1800	1900	1700	1550	1500	2150	2400	2650	1400	1450
69	玳瑁甲	3950	3900	3950	4000	3850	3850	4050	3900	3900	3850	3050	3000	2700	2500	2550	2650	2820	2850	2650	3520	3650
70	琥珀	3000	3000	2700	2450	3000	3000	3050	3200	3000	2900	2250	2400	2500	2800	2900	3200	3450	3400	3500	3250	3300
71	水晶	2800	2750	2800	2850	2750	2700	2650	2600	2850	2880	3450	3520	2500	1950	2100	2200	2750	2800	2800	2950	3080
72	软玉	3150	3100	3300	3150	3050	3050	3250	3100	3100	2950	2650	2400	2400	2100	2450	2750	3600	3650	3650	4500	4800
73	珍珠	5750	5550	5800	5800	5450	5450	5550	5500	5250	5300	4650	4550	4250	3950	3300	3400	3350	3600	3350	3150	3400
74	钻石	9100	9100	9150	9250	9150	9000	9050	9100	9000	9000	6600	6600	8100	7500	7600	7700	9000	8000	7500	8800	9100
75	蓝宝石	8050	8100	8000	8300	8150	8000	8050	8100	8000	8000	6500	6400	7000	6500	6700	6800	7200	7400	7400	8200	8400
76	祖母绿	7750	7650	7800	7900	7450	7200	7300	7400	7600	7500	5950	5750	6800	7000	7100	7200	8000	8000	8200	6800	6600
77	红宝石	7850	7900	7900	8100	8000	7750	7800	7900	7700	7700	6050	5800	6700	6400	6600	6600	7100	7300	7300	8000	8200
78	天青石	4300	4100	4300	4300	4020	4020	4100	4100	3850	3850	3250	3150	3500	2100	2200	2450	2650	2700	2700	4500	4500
79	犀牛角	3400	3400	3400	3400	3300	3300	3300	3300	3250	2350	2000	2200	3600	4100	4450	3850	5700	5950	5700	4350	4300
80	人参	4600	4400	4450	4700	4000	4380	4400	4000	4350	4050	4200	4000	4400	4600	4300	4450	4200	4550	4100	4100	4200
81	奎宁	4600	4550	4650	4750	4300	4200	4250	4200	4300	3900	2900	2800	2400	2200	2000	1800	1900	1950	1950	3000	2950
82	杏仁	1650	1550	1750	1800	1550	1750	1750	1800	1850	1600	1750	1920	2550	2650	3050	3060	3520	3550	3550	1950	2000
83	冬虫夏草	4500	4500	4500	4500	4500	4200	4400	4500	4450	4450	4400	4420	4550	4550	4450	4300	4100	4420	4300	4650	4720
84	郁金	2800	2750	2750	2700	2550	2600	2650	2650	2600	2450	2020	1900	1850	1550	1250	1200	1400	1450	1450	3200	3250
85	靛蓝	3200	3000	2950	3020	2970	2980	3100	3050	2950	2850	2050	1900	1900	1600	1650	1620	1900	2150	2250	3450	3500
86	胭脂红	2500	2600	2500	2600	2350	2600	2630	2700	2700	2500	2000	2200	3000	3000	3200	3200	3400	3400	3400	1600	1300
87	槟榔	3050	3000	3050	3150	2950	2950	2950	2900	2950	2900	1800	1700	1600	1250	1200	1100	1250	1350	1450	3250	3350
88	大黄	1600	1500	1600	1550	1600	1500	1400	1500	1500	1650	1650	1670	2000	1600	1250	1300	1500	1600	1550	2250	2350
89	山竹果	2950	2850	3050	2920	2950	2850	2950	3000	2900	2850	2450	2350	2350	2300	1300	1000	1250	1100	1050	3100	3150
90	枪	2100	2100	2150	2400	2100	2100	2200	2700	2300	2850	2950	3100	3900	4000	4350	4400	5350	5450	5500	3150	3550
91	大炮	3500	3550	3700	3500	3600	3700	3800	4500	4650	4600	4400	4600	5850	6200	7200	7300	8600	8900	9150	4980	5600
92	刀剑	1000	1350	1200	1400	1450	1550	1600	1700	1800	1750	1850	1900	2000	2150	2400	2600	2900	3200	3350	2000	2050
93	甲胄	1250	1300	1300	1150	1350	1250	1250	1350	1650	1600	1750	1850	1950	2200	2350	2700	2900	3250	3400	2050	2100
94	铁矿石	1600	1750	1250	1750	1750	1750	2100	2000	2200	1950	1850	1950	2120	2150	1900	1700	1750	1750	1800	1700	2050
95	铜矿石	2150	2000	1800	1250	2000	2000	1900	1950	1940	2100	1900	2000	2150	2200	2100	1920	2150	2120	1950	1500	1700
96	锡矿	1700	2100	2300	2100	2100	2100	2350	2300	2150	2350	1600	1550	1850	1750	1550	1550	1600	1600	1700	1300	1600
97	硝石	3200	3200	3300	3250	3050	3000	2900	2850	2400	2250	1650	1650	1500	1450	1960	2020	2350	2550	2600	3300	3550
98	硫磺	2350	2350	2400	2450	1950	1850	1650	1350	1250	1650	1550	1500	1450	1800	2050	2050	2650	3150	3100	3150	3250
99	煤	1350	1350	1400	1500	1550	1600	1700	1850	2000	2100	2000	2100	2400	2600	2600	2600	2800	2800	2800	2000	2000
100	木材	1500	1500	1400	1250	1700	1700	1600	1550	1650	1600	1500	1350	1400	1050	900	800	1350	1350	1400	1050	1000
101	皮草	1950	1850	1900	1950	1450	1500	2050	1800	1800	1650	1100	1050	1850	1900	1700	1600	1700	1850	1800	1250	1200
102	蜡	1400	1400	1250	1100	1550	1600	1880	1800	1750	1650	1700	2000	2300	2450	2700	2800	3150	3200	3200	2200	2200
103	糖胶	2100	2050	2150	2250	1950	1900	1950	1900	2000	1850	1450	1400	1150	1050	700	700	750	700	750	750	750
104	鸟粪石	1850	1800	1750	1900	1500	1300	2000	2000	2150	2200	2100	2400	2900	2800	2900	3000	3200	3100	3100	1050	1000
