itemId,name,iconId,category,type,value,job,price,ownerCityId,item_description
id,-,string,int,int,int,int,int,string,name;itemDescription
1,南瓜种子,0,5,5,0,0,2000,0,新大陆栽种的植物，果实、种子可以食用，是当地人的主食。
2,番茄苗,1,5,5,0,0,2200,0,新大陆栽种的蔬菜，成熟的果实呈鲜红色。
3,香蕉树,2,5,5,0,0,2400,1,是东南亚的树。果实一熟就变成黄色，可以食用，味美香甜。
4,蜜蜂窝,3,5,5,0,0,1200,1,蜜蜂精心构筑的巢，里面充满从花中采集来的花蜜，营养丰富。
5,鲨鱼幼鱼,4,5,5,0,0,9000,1,凶猛的鱼，有时也袭击人类。它的鳍和卵十分美味，得到人们喜欢。
6,胡椒粒,5,5,5,0,0,8500,1,从高达 5 ~ 9 公尺的热带植物所取得的果实，在印度大量出产，也被称作香料之王。
7,丁香粒,6,5,5,0,0,8600,1,深褐色的果实，形如订状。它的特征是有特别的香味，并且让舌头感到辣辣的刺激感。他原产于东南亚。
8,肉桂树,7,5,5,0,0,7800,1,生长在印度到东南亚一带的树。干燥的树皮会发出带有独特香味，被当做香料使用。
9,甜椒果,8,5,5,0,0,6500,1,是辣椒的一种，果实成圆形或长圆形，原产于新大陆，咬一口会种强烈的刺激感。
10,咖啡树,9,5,5,0,0,6700,1,原产于东非的树木，花纯白，发出茉莉花的香味。将干燥了的果实煮后可当作饮料。
11,茶树,10,5,5,0,0,7500,1,是原产于中国南方的树木。将长长的椭圆形的叶子发酵后课当作饮料来食用。根据发酵的程度和使用的部位的不同，风味也各异。
12,可可果,11,5,5,0,0,6800,1,是原产于新大陆的高大树木。从直接长在树干部的果实中取出种子，经过发酵干燥后就可以食用。
13,烟草苗,12,5,5,0,0,7200,1,将干燥的叶子切碎，用纸等东西把它卷成烟卷，点燃后抽上一口，会使人心情舒畅。它原产于新大陆。
14,炼金术书,13,5,5,0,0,12500,1,记述炼金术，也就是研究一切物质构造的学问的奥妙书，也记述了将某种物质转换为其他物质的记述。
15,玻璃的制作辞典,14,5,5,0,0,8000,1,详细说明玻璃制作工艺的书。
16,蚕,15,5,5,0,0,7700,1,蛾的幼虫，成熟后身体透明，吐丝做茧，这时吐的生丝是绢丝，可作为衣料的原料使用。
17,织布机,16,5,5,0,0,11000,1,将纤维纵横交叉进行支部的机械，用手和脚操作。
18,珍珠贝,17,5,5,0,0,9000,1,生活在日本近海的珍珠贝，壳略程方形，表面带有黑褐色，是珍珠的母贝。
19,中医宝典,18,5,5,0,0,12000,1,流传东洋的医术，记录用草和树皮制药的方法，作者不详。
20,山竹果种子,19,5,5,0,0,3000,1,原产于东南亚，果实为球形，呈暗紫色，果肉汁多美味，也被称作果中。
21,金黄色猫,20,4,4,0,0,15000,1,全身金毛的猫，非常爱吃老鼠。
