cityId	city_name	seaAreaId	cultureId	cityType	longitude	latitude	commerce	milltary	goods	goodsCommercialNeed	goodsPrices	goodsAbundance	goodsHidden	buildings
id	name;cityLabel	string	string	int	double	double	int	int	array	array	array	array	array	string
0	伦敦	7	0	1	0.7	51.6	4600	4400	99;47;51;90;91	4500;2000;2000;4000;3500	550;345;485;1150;2400	15;25;25;12;12	0;0;0;0;0	0;2;3;4;5;6;7;8
1	布里斯特	7	0	2	-3.3	51.3	1500	1800	6;47;51;92;96	1000;2000;1500;1000;2000	450;380;520;440;1100	12;20;15;17;25	0;0;1;0;0	1;2;3;4;5;7;8
2	阿姆斯特丹	7	1	1	5.6	53	4200	2800	8;42;43;51	3000;3000;4500;4000	450;765;2900;520	20;17;12;15	0;0;0;0	0;2;3;4;5;6;7;8
3	布鲁日	7	1	2	2	51.1	2300	1900	99;0;50;54;90	2500;1500;2000;2500;4000	550;360;345;450;1150	20;25;25;20;12	0;0;0;0;0	1;2;3;4;7;8
4	南特	7	1	2	-1.2	45.8	2200	2000	8;13;19;35	1000;1000;2000;1000	450;445;150;465	20;25;20;25	0;0;0;0	1;2;3;4;7;8
5	汉堡	7	2	1	8.8	53.4	3800	3000	5;6;7;36;94	2000;3000;3200;3000;3000	240;450;500;600;1080	20;12;20;23;17	0;0;1;0;0	0;2;3;4;5;6;7;8
6	卢比克	7	2	2	10.9	54	3500	2800	0;6;36;94;40	3000;3000;3000;3000;4000	380;450;590;1040;3200	20;12;23;25;5	0;0;0;0;0	1;2;3;4;5;7;8
7	斯德哥尔摩	7	3	1	18.3	59.6	2700	2500	5;100;92;95	2500;2500;1500;2000	220;750;450;1100	25;15;17;20	0;0;0;0	0;2;3;4;5;6;7;8
8	奥斯陆	7	3	2	10.4	59.6	2800	2400	5;93;100	2500;2000;1500	240;465;730	20;22;25	0;0;0	1;2;3;4;7;8
9	哥本哈根	7	3	2	12.2	55.3	3400	2700	6;42;91	3000;3000;3000	450;770;2400	12;17;17	0;0;0	1;2;3;4;5;7;8
10	里加	7	3	2	23.9	57.2	2600	2200	0;3;59;70;102	2000;3500;2000;2700;2500	370;350;1320;1100;300	20;20;23;15;25	0;0;0;0;0	1;2;3;4;7;8
11	里斯本	6	4	1	-8.8	38.6	6000	4200	13;14;28;82;90	4000;4000;5500;6000;4000	520;380;920;800;1150	12;12;20;17;12	0;0;0;0;0	0;2;3;4;5;6;7;8
12	休达	6	4	2	-5.6	35.6	700	1400	15;64;67;101	600;2000;2500;700	275;1450;3000;700	20;12;8;25	0;0;0;0	1;2;3;4;7;8
13	塞尔维亚	6	5	1	-6.2	36.6	5200	5700	12;57;52;90;93	4500;5000;4000;4000;4000	730;850;480;1150;480	12;12;25;12;15	1;0;0;0;0	0;2;3;4;5;6;7;8
14	瓦伦西亚	6	5	2	-0.4	39.2	2200	2900	13;43;47;51;82	1150;3000;2000;1600;2200	520;2900;380;520;800	12;15;20;15;17	0;0;0;1;0	1;2;3;4;7;8
15	热那亚	6	6	1	8.9	44.6	4000	3500	8;49;51;53;93	1500;3800;2000;4000;4000	450;520;520;3300;480	20;12;15;7;15	0;1;0;1;0	0;2;3;4;5;6;7;8
16	马赛	6	6	2	4.6	43.6	2500	2500	8;12;13;28;45	1500;2500;1500;3000;2000	450;720;510;920;930	20;12;12;20;25	0;1;0;0;0	1;2;3;4;7;8
17	西拉库萨	6	6	2	15	37.3	2800	1950	0;35;14;19	2000;1000;1500;2500	380;500;340;150	20;23;25;20	0;0;0;0	1;2;3;4;5;7;8
18	威尼斯	6	6	2	12.4	45.8	4300	3300	35;57;61;42;71	2000;3300;2000;2000;4000	440;800;3110;660;1150	25;20;8;25;15	0;0;0;0;0	1;2;3;4;5;7;8
19	雅典	6	7	1	23.2	38.3	2200	2000	9;14;19;60;61	2000;1000;1500;2200;2200	380;380;135;3150;3200	20;12;25;8;8	1;0;0;0;0	0;2;3;4;5;6;7;8
20	克里特	6	7	2	25.2	35.4	1600	1800	35;9;14;34	1000;1600;1500;1600	500;380;375;1040	23;20;12;17	0;1;0;1	1;2;3;4;7;8
21	塞浦路斯	6	7	2	33.3	35.4	1200	1500	0;14;34;82	1000;1000;1200;1500	380;375;1040;720	20;12;17;25	0;0;1;0	1;2;3;4;7;8
22	伊斯坦堡	6	8	1	28.7	41.3	5000	6000	20;23;98;55;58	4500;5000;4500;1900;4300	450;4300;600;2300;3150	22;20;20;10;17	1;1;0;0;0	0;2;3;4;5;6;7;8
23	拉古扎	6	8	2	16.8	43.3	1500	1000	4;9;14;34;88	1500;1500;1500;1500;1000	350;380;370;1040;600	20;20;12;17;23	0;1;0;1;0	1;2;3;4;7;8
24	贝鲁特	6	8	2	35.9	35	1900	2100	25;34;42;100;55	1900;190;2000;2000;1900	4100;870;725;750;2250	20;17;17;15;15	1;1;0;0;0	1;2;3;4;7;8
25	亚历山大	6	9	1	30.8	31.7	4000	3200	15;22;48;54;58	2000;4000;3000;3000;3000	280;4200;390;335;3130	12;20;20;25;5	0;1;0;0;0	0;2;3;4;5;6;7;8
26	的黎波里	6	9	2	13.2	33	1700	1800	48;50;52;39;46	1500;1500;1600;2500;2000	395;345;550;6600;1200	20;25;15;5;12	0;0;1;0;0	1;2;3;4;7;8
27	阿尔及尔	6	9	2	2.9	36.9	2500	2800	14;37;82;67;46	2000;1500;2000;3200;2700	380;480;790;3000;1300	12;23;17;6;8	0;0;0;0;0	1;2;3;4;5;7;8
28	突尼斯	6	9	2	9.9	37.2	3000	2700	94;50;54;79	3000;2000;2000;3000	1080;330;440;2400	17;25;20;17	0;0;1;0	1;2;3;4;5;7;8
29	圣乔治	4	10	1	3.7	6.8	1900	1800	31;33;39;48;67	1900;1900;900;1800;2600	760;660;5100;295;1600	12;20;8;20;8	1;1;0;0	0;2;3;4;5;6;7;8
30	马德拉	6	4	2	-17	32.8	700	400	11;15;19;35	500;600;700;900	620;270;160;480	20;20;20;17	0;0;0;0	1;2;3;4;7;8
31	拉斯帕玛斯	6	5	2	-16.7	28.5	500	600	5;9;15	600;500;500	200;380;270	20;20;20	0;1;0	1;2;3;4;7;8
32	绿角	4	10	2	-17.4	14.8	250	350	10;13;27;48;95	250;500;1000;250;250	350;515;1380;400;1120	20;12;25;17;20	1;0;0;0;0	1;2;3;4;7;8
33	卢安达	4	10	2	13.1	-9.4	300	200	31;41;68;70;74	300;200;500;800;1200	750;4000;850;980;5050	12;20;20;17;5	1;1;0;0;0	1;2;3;4;7;8
34	索法拉	4	11	1	34.8	-24.2	2200	2800	63;31;34;41;67	2400;2100;2100;2100;1900	1190;725;740;4000;1400	20;20;17;17;25	0;0;1;1;0	0;2;3;4;5;6;7;8
35	开普敦	4	11	2	18.7	-34.1	250	800	10;39;74;94;101	150;900;1200;500;150	320;4600;4650;1070	20;5;5;20;25	1;0;0;0;0	1;2;3;4;7;8
36	莫桑比克	4	11	2	40.6	-14.5	1500	2000	31;42;67;68;76	1200;1200;1200;1000;1500	710;960;1500;800;4100	25;17;8;25;7	0;1;0;0;0	1;2;3;4;5;7;8
37	摩加迪休	4	11	2	44.9	2.2	1400	1600	32;39;63;77;95	1000;900;1000;2000;900	655;5800;1180;4450;1070	20;8;12;10;25	1;0;0;0;0	1;2;3;4;7;8
38	巴斯拉	3	12	1	48	30.1	3500	3600	6;8;15;97;55	5000;3000;2500;2800;1900	475;440;265;720;1300	20;20;20;23;23	0;0;0;0;0	0;2;3;4;5;6;7;8
39	亚丁	3	12	2	45.9	13.7	2800	2900	0;15;31;70;58	2500;2000;2800;2000;3000	380;260;820;1100;2100	20;20;20;15;5	0;0;0;0;0	1;3;4;5;7;8
40	马斯喀特	3	12	2	58.5	23.6	2300	2400	5;15;54;12	2000;2000;2300;2500	240;260;440;700	20;20;8;15	0;0;0;0	1;3;4;5;7;8
41	荷姆兹	3	12	2	56.2	27.4	2000	2500	15;48;98;62;55	1800;1500;2000;2400;1900	270;395;590;1300;1400	20;17;23;15;15	0;0;0;0;0	1;2;3;4;7;8
42	卡里亥特	3	13	1	76	10.7	4000	2700	24;48;56;72	3000;3800;3000;2500	700;390;800;1180	20;17;25;23	0;0;0;0	0;2;3;4;5;6;7;8
43	哥亚	3	13	2	74.3	14.4	3200	2800	22;48;52;56;78	1500;2000;2500;3000;2600	1100;390;550;830;1650	20;17;23;20;15	0;0;0;0;0	1;2;3;4;5;7;8
44	锡兰	3	13	2	79.8	6.9	2500	2300	24;29;32;75;77	1500;2300;1300;2000;2000	980;450;960;4550;4500	25;25;23;8;8	0;0;0;0;0	1;2;3;4;5;7;8
45	加尔各答	3	13	2	87.8	22	1800	1400	1;56;72;32;94	800;1000;1300;2000;1300	345;830;1185;740;1070	25;20;20;25;17	0;0;0;1;0	1;2;3;4;7;8
46	安曼	3	14	2	96.3	16.7	1200	1100	17;69;71;66;100	2000;2000;1000;2000;800	240;950;870;2510;620	22;12;15;10;25	0;0;0;0;0	1;2;3;4;7;8
47	马六甲	2	14	2	102	2.7	3000	2800	25;16;89;87;103	1500;2000;3000;1000;2000	370;320;265;390;220	20;20;20;15;20	0;0;1;0;0	0;2;3;4;5;6;7;8
48	文莱	2	14	2	111.9	3	500	400	22;23;24;89;103	500;500;500;500;800	350;400;340;270;220	20;20;20;20;25	1;1;0;1;0	1;2;3;4;7;8
49	马尼拉	2	14	2	120.8	14.7	200	300	1;22;23;24;39	200;200;200;200;900	380;390;400;380;5700	20;20;20;20;5	0;1;1;0;0	1;2;3;4;7;8
50	雅加达	2	15	1	107.4	-6.2	2900	3500	1;3;81;85;84	2500;3400;2500;2400;2000	380;300;1000;600;370	20;20;25;10;15	0;1;0;0;0	0;2;3;4;5;6;7;8
51	巴邻旁	2	15	2	104.3	-1.4	2500	2600	31;87;65;100;103	2200;2000;2400;1800;2000	730;420;500;600;230	20;15;17;25;20	1;0;0;0;0	1;2;3;4;7;8
52	德尔纳特	2	15	2	127.4	1.6	2600	1800	10;22;23;24	2500;1900;2600;2500	400;360;370;330	25;25;20;20	0;0;1;0	1;2;3;4;5;7;8
