buildingId	building_name	position	eventAction	building_owner	buildingImage
id	name	int	string	name	string
0	王宫	1	palace	国王	city_building_0.png
1	总督府	1	government	总督	city_building_1.png
2	酒馆	2	tavern	酒馆的掌柜	city_building_2.png
3	广场	3	plaza	广场的店主	city_building_3.png
4	交易所	4	exchange	交易所的掌柜	city_building_4.png
5	造船厂	5	shipyard	造船厂的老板	city_building_5.png
6	同业公会	6	guild	同业公会的总管	city_building_6.png
7	码头	7	dock	码头的小伙子	city_building_7.png
8	旅馆	8	inn	旅馆的老板娘	city_building_8.png
9	遗迹	9	relic	祈祷师	city_building_9.png
10	教堂	9	relic	神父	city_building_10.png
11	城门	9	relic	卫兵	city_building_11.png
