cutureId	culture_name	music	PlazaStore	PlazaBuilding	portrait	comment
id	name;cultureLabel	string	string	string	int	-
0	英国	north_europe.mp3	PlazaStore4.png	PlazaBuilding4.png	0	portrait表示说话人的形象用不一样的内容
1	法兰德斯	north_europe.mp3	PlazaStore4.png	PlazaBuilding4.png	0	0为默认值
2	德国	north_europe.mp3	PlazaStore4.png	PlazaBuilding4.png	0	;
3	北欧	north_europe.mp3	PlazaStore4.png	PlazaBuilding4.png	0	;
4	葡萄牙	south_europe.mp3	PlazaStore4.png	PlazaBuilding4.png	0	;
5	西班牙	south_europe.mp3	PlazaStore4.png	PlazaBuilding4.png	0	;
6	意大利	south_europe.mp3	PlazaStore4.png	PlazaBuilding4.png	0	;
7	希腊	arab.mp3	PlazaStore5.png	PlazaBuilding5.png	0	;
8	土耳其	arab.mp3	PlazaStore5.png	PlazaBuilding5.png	0	;
9	埃及	arab.mp3	PlazaStore5.png	PlazaBuilding5.png	0	;
10	西非	africa.mp3	PlazaStore1.png	PlazaBuilding1.png	0	;
11	东非	africa.mp3	PlazaStore1.png	PlazaBuilding1.png	0	;
12	阿拉伯	arab.mp3	PlazaStore5.png	PlazaBuilding5.png	0	;
13	印度	arab.mp3	PlazaStore5.png	PlazaBuilding5.png	0	;
14	印度支那	southeast_asia.mp3	PlazaStore1.png	PlazaBuilding1.png	0	;
15	印尼	southeast_asia.mp3	PlazaStore1.png	PlazaBuilding1.png	0	;
16	中国	china.mp3	PlazaStore2.png	PlazaBuilding2.png	0	;
17	朝鲜	china.mp3	PlazaStore2.png	PlazaBuilding2.png	0	;
18	日本	japan.mp3	PlazaStore3.png	PlazaBuilding3.png	0	;
19	加勒比海	america.mp3	PlazaStore1.png	PlazaBuilding1.png	0	;
20	墨西哥	america.mp3	PlazaStore1.png	PlazaBuilding1.png	0	;
