dialogId	npcType	npcParameter	;
id	string	string	name
dialog_new_item_discover	city	4	啊，这是...%@， 你能把它送给我们么？
dialog_buy_item	city	6	您确定要购买 %@吗？价格是 %@金币
dialog_sell_item	city	6	"你想卖掉 %@吗？ 价格是 %@金币"""
dialog_gain_money	0	0	得到了%@枚金币
dialog_lose_money	0	0	失去了%@枚金币
dialog_add_friend	0	0	%@成为伙伴！
dialog_lose_friend	0	0	%@离开队伍！
dialog_modify_ship_confirm	city	5	这次改造需要%@金币，以及%@天时间，你确定吗？
dialog_no_enough_money	npc	0	我的钱不够了。
dialog_fill_food	city	7	这次补给需要%@金币， 确定补给吗？
dialog_no_sailors	city	7	船上不能没有水手。
dialog_no_enough_sailors	city	7	水手不足，你确定仍然要出航吗？
dialog_checkout_food	city	7	你的物资大约能航行%@天。
dialog_checkout_food_not_enough	city	7	你的物资大约能航行%@天。这是不是有点少？
dialog_hire_sailor_confirm	city	7	本次招募需要花费%@金币，你确定需要招募么？
dialog_hire_sailor_no_money	city	7	本次招募需要花费%@金币，你的钱不够哎。
dialog_hire_full	city	7	已经装不下水手了。
dialog_hire_sailor_success	city	7	提督，我们用%@金币成功雇佣到了%@名水手。
dialog_hire_continue_full	city	7	距离满仓还差%@位水手，本次招募需要花费%@金币，确定要招募吗？
dialog_hire_continue_need	city	7	"距离必要水手数还差%@位水手，本次招募需要花费%@金币，确定要招募吗？"""
dialog_signup_success	city	1	好吧，允许你再这个城市做生意。
dialog_signup_failure_full	city	1	我们城市已经没有多余可以签约的份额了。
dialog_invest_fail	city	1	就这么放弃投资了？
dialog_signup_start	city	1	听说你想和我们签约？打算签订多少份额呢？
dialog_need_to_sign_before_exchange	city	6	对不起，你必须要先签约才能在这里做交易
dialog_no_ship_to_sale	me	0	我们没有可卖的船只。
dialog_no_ship_no_game	me	0	我们还没有船。
dialog_military_invest_start	city	1	听说你想进行军事投资，打算投资多少份额呢？
dialog_more_free_sailors	me	0	还有%@为水手没有被配置，要遣散他们吗？
dialog_new_ship_into_dock	me	0	我已经有五条船了，新买的船将会进入船坞。
dialog_equip_an_equipment	me	0	要给谁装备它呢？
dialog_cannot_equip	me	0	%@无法装备%@
dialog_i_cannot_equip	me	0	我无法装备%@
dialog_unequip_an_equipment	me	0	卸载下来了。
dialog_equip_an_equipment_success	me	0	装备成功。
dialog_unequip_a_shipheader	me	0	卸载了船首像。
dialog_equip_a_shipheader	me	0	要给哪条船装备船首像呢？
dialog_cannot_unequip_a_shipheader_demon	me	0	这条船上装了恶魔像，强行拆除的话，船会坏掉。要强行拆吗？
dialog_cannot_unequip_a_shipheader_demon_first	me	0	还是不要随意拆毁旗舰吧。
dialog_cannot_unequip_a_shipheader	me	0	无法正常卸载这个船首像。
dialog_not_implement_yet	me	0	%@ 这个功能还没有实现
dialog_sail_without_enough_sailors	me	0	水手不足必要数，仍然要出港吗？
dialog_sail_without_fillup	me	0	物资没有满仓，是否仍然要继续出港？
dialog_days_enough_to_sail	me	0	我们准备的物资可以航行%@天。
dialog_days_not_enough_to_sail	me	0	我们准备的物资只能航行%@天，为了安全起见还是取消这次航行。
dialog_back_to_menu	me	0	真的要回到主画面吗？没保存的可能会丢失。
dialog_exchange_dialog	city	4	有什么事吗？
dialog_wanna_invest_commerce	city	4	要投资吗？与别人是有些不同，那么投资多少呢？
dialog_commerce_invest_fail	city	4	光看不买吗？
dialog_cancel_task_confirm	city	6	要交出违约金%@枚金币。
dialog_tavern_dialog	city	2	欢迎。想要点儿什么？
dialog_guild_dialog	city	6	啊，有什么事？
dialog_inn_dialog	city	8	啊，欢迎。
dialog_sleep_1_day_confirm	city	8	要1枚金币。
dialog_inn_sleep_multiple_days	city	8	住1晚1枚金币，要住几天？
dialog_confirm_sleep_date	city	8	住%@天吗？
dialog_military_wanna_invest_confirm	city	1	哦，%@，听说你要协助城市防御？
dialog_military_invest_success	city	1	恩，有志气，值得敬佩。
dialog_military_invest_fail	city	1	不干脆的家伙。
dialog_signup_description	city	1	你说想在这个城市做生意？嗯，好吧，这个城市的最低合约费是%@枚金币。
dialog_signup_description_2	city	1	要根据你支付的合约金来承认占有率，你要支付多少钱？
