goodsId,goods_name,type,iconId,maxPrice,levelUpExp,goods_description
id,name,int,string,int,int,name
0,小麦,1,[TItem48]#0.png,1100,500,与米（稻）、玉米并称为世界三大谷物。原产于地中海，果实制成粉可以作为面包、面类等的原料。
1,水稻,1,[TItem48]#1.png,1200,300,与小麦、玉米并称世界三大谷物。去掉稻谷的稻的果实是日本的主食，也是味增和酒的原料。
2,玉米,1,[TItem48]#2.png,1100,400,与小麦、米（稻）并称为世界三大谷物。在新大陆从公元前开始就被栽种，也是玉米酒的原料。
3,马铃薯,1,[TItem48]#3.png,1000,300,蔬菜的一种，地下茎的块茎可以食用。原产于新大陆，味道清淡，烹调方法有很多，地域虽不同，但都被作为主食食用。
4,大豆,1,[TItem48]#4.png,1000,500,大豆的种子，是豆腐、味增的原料，据说原产于中国北方。
5,鱼,1,[TItem48]#5.png,1100,600,鱼，生吃或者烤着吃，全世界都可以捕到。
6,牛肉,1,[TItem48]#6.png,1200,700,牛肉，可煮或烤食用，因文化不同，也有人连一口都不吃。
7,南瓜,1,[TItem48]#7.png,1300,500,蔬菜的一种，原产于新大陆。富含淀粉，所含热量仅次于薯类、豆类。
8,奶酪,1,[TItem48]#8.png,1200,600,在牛奶和山羊奶等乳类中加入乳酸菌，发酵而成。根据奶的种类，加入的菌类，和加工所需时间的不同而风味各异。
9,番茄,1,[TItem48]#9.png,1300,800,蔬菜的一种，茄科的植物，别名红茄子。原产于新大陆，可生吃或者煮着吃。
10,香蕉,1,[TItem48]#10.png,1400,700,芭蕉科的大型多年生草本植物，果实可以食用，原产于亚洲。在热带被当作主食，生吃含糖份多，不同于烹调用品种。
11,糖,2,[TItem48]#11.png,1700,900,甜品料，主要成份是蔗糖，以热带出产的甘蔗或者甜菜等为原料。
12,蜂蜜,2,[TItem48]#12.png,1800,1000,蜂蜜采自花，贮藏在蜂巢里的蜜。糖分多，营养价值也高。
13,盐,2,[TItem48]#13.png,1600,800,调味料的一种。也是人体生理上不可欠缺的成分，有脱水作用，仿佛作用等。
14,橄榄油,2,[TItem48]#14.png,1200,900,从地中海沿岸橄榄树的果实中提炼出来的油。多用于油渍提鱼，不适合容易酸化的油炸物。
15,椰子油,2,[TItem48]#15.png,1100,600,用椰子果实的胚乳榨的油，别名椰子油，作为食用油脂、工业油脂使用。
16,生姜,2,[TItem48]#16.png,2000,600,根茎可以食用和药用。原产于亚洲热带地区。具有独特的芳香和辣味。
17,荔枝,3,[TItem48]#17.png,2000,1000,果实呈白色胶状，味道酸甜，原产于中国南方，用于中国菜的甜点。
18,榛果,3,[TItem48]#18.png,1600,800,温带地区分布的桦树科树木的果实，别名榛果。
19,葡萄干,3,[TItem48]#19.png,1200,300,晒干的葡萄，地中海有很多。
20,鱼子酱,3,[TItem48]#20.png,5200,1000,以鲟鱼的卵巢腌制而成，是珍品。
21,鱼翅,3,[TItem48]#21.png,5200,1000,大型鲨鱼的鱼鳍干燥而成，尾、背、胸之中，尾鳍是上品，软化后煮汤喝。
22,胡椒,4,[TItem48]#22.png,4200,700,胡椒科的果实，有芳香和强烈的辣味，作为香辣料使用。
23,丁香,4,[TItem48]#23.png,4200,900,葡桃科丁香的花蕾干燥而成。与胡椒、肉桂并成为三大香料，香味佳，用于肉类菜肴。
24,豆蔻,4,[TItem48]#24.png,3500,800,肉豆蔻科的常绿乔木，肉豆蔻的果实的核，可以消除肉的异味。
25,肉桂,4,[TItem48]#25.png,4200,700,肉桂的树皮干燥而成，增加甜香味时使用。
26,甜椒,4,[TItem48]#26.png,3500,800,将豆蔻的种子磨成粉末而成，有丁香、肉桂、肉豆蔻混合的香味。
27,罗望子,4,[TItem48]#27.png,2500,600,从豆蔻的常绿乔木的果实采取，用作香辣料。
28,藏红花,4,[TItem48]#28.png,2400,700,番红花的雄蕊干燥而成，香辣料的一种，做鱼汤时加味、着色用。
29,香草,4,[TItem48]#29.png,3200,700,香草的果实发酵而成，原产于新大陆。特有的甜香味道，给酒精提炼物加香味时使用。
30,辣椒,4,[TItem48]#30.png,3800,600,辣椒的果实干燥而成，原产于新大陆，别名红辣椒，有刺激的强烈辣味。
31,咖啡,5,[TItem48]#31.png,3500,600,将咖啡树的种子（咖啡豆）炒熟、粉碎，再滚着、过滤而成的饮料，有强烈的香味和枯萎。
32,茶叶,5,[TItem48]#32.png,3500,700,用茶树的嫩芽、嫩叶制作的饮料。根据制法可分为绿茶等未发酵茶、乌龙茶等半发酵茶、红茶等发酵茶。
33,可可豆,5,[TItem48]#33.png,3300,700,可可豆，将可可的种子发酵而成，有独特的香气，是可可和巧克力的原料。
34,烟草,5,[TItem48]#34.png,4000,500,将烟草的叶子干燥，剪细，点火吸其烟。根据品种、加工的目的而使用不同的干燥方法。原产于新大陆，有独特的芬芳。
35,葡萄酒,6,[TItem48]#35.png,1900,1000,以葡萄的果实和果汁为原料发酵而成。由于基督教的仪式需要红葡萄酒，随着基督教的传播，这种酒也普及到全世界。
36,白兰地,6,[TItem48]#36.png,2100,1100,以果实为原料的蒸馏酒的总称，蒸馏葡萄酒制作的白兰地很有名，含40%的酒精。
37,朗姆酒,6,[TItem48]#37.png,1750,600,蒸馏酒的一种，特征是有甜味味，以甘蔗的榨汁或糖蜜为原料，酒精浓度为40~80%。
38,清酒,6,[TItem48]#38.png,2000,900,日本固有的酿造酒，以米为原料，含酒精15~20%，也称为日本酒。
39,黄金,7,[TItem48]#39.png,9000,1800,有美丽的黄色光泽的金属，作为装饰品等使用。
40,白银,7,[TItem48]#40.png,5200,1300,有青白色美丽光泽的金属，被用作装饰品等。
41,白金,7,[TItem48]#41.png,9500,1900,有类似银的美丽光泽的金属，作为装饰品使用，别名白金。
42,玻璃,8,[TItem48]#42.png,2600,900,玻璃工艺品，指用玻璃制成的器具、装饰品。多用将融化的玻璃装在桶的前端，吹起做出形状的吹法制作。
43,陶瓷,8,[TItem48]#43.png,4200,1200,陶器、瓷器等陶瓷的总称。被用作日常石器或者美术工艺品。经手捏、烘烤、上釉等多道手序形成。
44,漆器,8,[TItem48]#44.png,2700,800,用漆树的树液涂的器具，也叫漆器。要上数遍漆，根据最后一遍漆的颜色和技法的不同有各种变化。
45,象牙工艺,8,[TItem48]#45.png,2200,600,在材料的表面的刻画，挖掉的部分嵌入其他材料显示图案的工艺。用金、银、贝等作装饰物，也叫镶嵌。
46,黄金工艺,8,[TItem48]#46.png,3000,800,雕刻金属的大师傅用铁锤斬打后，再在金属的表面进行各种各样的雕刻。自古以来制作装饰品。
47,羊毛,9,[TItem48]#47.png,1500,600,从羊或山羊身上剪下的毛，毛线和毛织物的原料。吸湿性、保湿型、弹性极好，欧洲从古代就用之为防寒用衣料。
48,棉花,9,[TItem48]#48.png,1400,500,棉花生产成的纤维，棉线等的原料。
49,丝绸,9,[TItem48]#49.png,3500,900,以蚕丝中抽出的纤维数条合成的丝，手感硬，没有光泽，用丝织品的原丝。
50,亚麻,9,[TItem48]#50.png,1100,300,从泰麻、亚麻、马尼拉麻等的茎提炼的纤维，用于衣料、绳子、垫子等。
51,毛织品,10,[TItem48]#51.png,2200,800,用绵羊、安哥拉兔、开司米等兽毛加工的纤维制成的纺织物。有吸湿性，晴儿保暖，被用作大衣等的衣料、毛毯等。
52,棉织品,10,[TItem48]#52.png,2100,600,以棉线为原料的纺织物。吸湿性好，手感好、结实，最适合做纺织物，印度从公元前就开始使用。
53,丝织品,10,[TItem48]#53.png,5000,1100,用丝线制成的纺织物，手感好。
54,麻织品,10,[TItem48]#54.png,1600,400,用麻的纤维制成的纺织物，用于夏季服装的衣料。耐摩擦，吸收，发散快，埃及从公元前就开始使用。
55,绒织品,10,[TItem48]#55.png,4200,900,作垫子用的毛织物，保湿，防湿、装饰性好。波斯地毯在艺术性，技术方面都很优秀，是手织地毯的极品。
56,纱布,10,[TItem48]#56.png,3500,500,将人物、鸟兽、花草等图案上各种颜色而成的棉布。
57,天鹅绒,10,[TItem48]#57.png,3200,700,捐的从丝上起毛的纺织品。具有独特的光泽和触感。
58,古董品,11,[TItem48]#58.png,5500,1400,数量稀少，有美术价值的古美术品，收藏家们以高价购买。
59,毛皮,11,[TItem48]#59.png,2900,1000,剥下哺乳动物的皮，连着毛制成的东西。被作为高价的装饰品用于大衣、披肩、帽子、垫子的东西等。
60,绘画,11,[TItem48]#60.png,6000,1200,平面上画出的视觉表现，根据油画、水墨画、水彩画等技巧法分类，收藏家高价有名画家的作品。
61,雕刻,11,[TItem48]#61.png,5900,1300,立体表现形象的造型艺术，用黏土之类柔软的材料或者木、石等硬材料制作，有名作家的作品被高价买卖。
62,麝香,12,[TItem48]#62.png,3500,900,香料的一种，从含有发出芳香成份的麝的分泌物中提取的，甜香味很浓。
63,乳香,12,[TItem48]#63.png,3800,800,焚香料，点着即冒出白烟，同时发时发出美妙的香味。
64,龙延香,12,[TItem48]#64.png,4000,1000,动物性香料的一种，从抹香鲸的肠内提取，干燥后加上乳糖，一加入酒精就发散出芳香。
65,白檀,12,[TItem48]#65.png,3400,800,在热带地区栽培，黄白色的芯会发散出芳香的味道。它可作用为香料，也可用作佛像等等的雕刻，被制成白檀油，原产于印度。
66,翡翠,13,[TItem48]#66.png,4000,1000,不透明或者半透明的石头，别名硬玉，暗绿色。价值越高越呈浓绿色，半透明，在中国是装饰品兼除魔的护身符。
67,象牙,13,[TItem48]#67.png,4400,900,大齿状伸展的象的门牙，从古代就被人们看重。乳白色、纹理色，适合精细工艺。
68,珊瑚,13,[TItem48]#68.png,3200,700,将海中生物珊瑚加工而成，用来防止人际关系的不和、魔物的影响，从古代就被用来作为武器的装饰等。
69,玳瑁甲,13,[TItem48]#69.png,2750,900,将海龟的一种玳瑁的甲壳加工而成，半透明的黄色中有褐色的斑点，用作梳子、眼镜框、装饰品等。
70,琥珀,13,[TItem48]#70.png,3400,700,古代的树脂在地下形成的化石，带有黄色，透明或者半透明，作为胸针等装饰品使用。
71,水晶,13,[TItem48]#71.png,2600,1000,透明的酸化矿物石英，根据颜色被称为紫水晶、烟水晶、红水晶，作为装饰品等。
72,软玉,13,[TItem48]#72.png,2000,700,半透明的石头，别名软玉，有乳白色、灰色、深绿色等各种各样的颜色，从石器时代就作为装饰品的原石使用。
73,珍珠,14,[TItem48]#73.png,5200,1200,在珍珠贝等的体内形成的圆珠，宝石的一种，颜色有白、粉色、银白、黑色等，粉红类级圆的是最佳品种。
74,钻石,14,[TItem48]#74.png,9500,1800,无色透明的宝石，折光率高，很会发光。以克拉、切割面、颜色，透明度评价，青白色的为最上品。
75,蓝宝石,14,[TItem48]#75.png,7500,1500,透明的青橙色宝石，别名青玉，青宝玉，从过去就被当作神圣的宝石、基督教圣职者的戒指使用之，硬度仅次于钻石，非常稀有。
76,祖母绿,14,[TItem48]#76.png,6900,1400,鲜艳的绿色宝石，日本叫作翠玉，中世纪相信它是除魔的护身符，因受埃及艳后所钟爱而闻名。
77,红宝石,14,[TItem48]#77.png,7200,1300,红色的宝石，日本叫作和玉，其火红的颜色被认为是不灭的火焰，鸠血颜色的宝石是极品。
78,天青石,14,[TItem48]#78.png,3400,700,蓝色、半透明，有玻璃光泽的宝石，别名青金石，日本也叫作琉璃，在公元前的埃及也得到重视。
79,犀牛角,15,[TItem48]#79.png,4300,900,以犀牛角的尖端磨碎而成，用于解热，消毒。
80,人参,15,[TItem48]#80.png,5200,600,将朝鲜人参的根干燥而成，含有类固醇，维生素B，用于滋养，强身，强心剂，原产于东南亚。
81,奎宁,15,[TItem48]#81.png,3100,500,用奎树的皮精制而成，用于解热，强身，健胃剂。
82,杏仁,15,[TItem48]#82.png,2000,300,杏树果实的核，原产于西亚，作为止咳药。
83,冬虫夏草,15,[TItem48]#83.png,6100,1300,寄生在昆虫等的菌类，被作为强壮剂。
84,郁金,16,[TItem48]#84.png,2300,500,将郁金的根茎加热提炼出的液体，被当作黄色染料使用。
85,靛蓝,16,[TItem48]#85.png,3400,600,蓝色的叶子发酵制成的染料，是鲜艳的蓝色。
86,胭脂红,16,[TItem48]#86.png,2300,500,红色的染料，将墨西哥产的仙人掌上附着的胭脂虫干燥后制成的粉末。
87,槟榔,16,[TItem48]#87.png,2300,500,黑褐色的染料，煮槟榔的果实制成。
88,大黄,16,[TItem48]#88.png,2200,800,用大黄的根茎制成的黄色染料，原产于中国。
89,山竹果,16,[TItem48]#89.png,2200,700,用芒果的皮制成的染料，原产于马来半岛附近。
90,枪,17,[TItem48]#90.png,3400,1000,以火药之力发射子弹的武器，战斗期间十分畅销。
91,大炮,17,[TItem48]#91.png,5200,1200,发射大子弹的兵器，战斗期间十分畅销。
92,刀剑,17,[TItem48]#92.png,1700,700,刀和剑，战斗期间销售良好。
93,甲胄,17,[TItem48]#93.png,1900,800,铠甲和头盔，战斗期间卖的很好。
94,铁矿石,18,[TItem48]#94.png,2100,600,含有铁的石头，可以加工成不锈钢，钢铁等。
95,铜矿石,18,[TItem48]#95.png,1750,500,含有铜等石头，铜对热和电电传导率大，用于加工货币，管，棒。
96,锡矿,18,[TItem48]#96.png,1750,400,含有锡大矿石，锡市白色金属，熔点低，伸展性好，可以加工马口铁，焊锡等。
