routeId,city1Str,city2Str,cityId1,cityId2,routes
id,-,-,string,string,string
1,__,__,1,2,311_200;287_251
2,__,__,1,6,308_198
3,__,__,1,9,;
4,__,__,1,3,313_191;312_164
5,__,__,1,10,313_191
6,__,__,2,6,;
7,__,__,2,9,;
8,__,__,2,10,285_254
9,__,__,6,9,352_255;357_241
10,__,__,6,10,352_255
11,__,__,6,8,352_255;359_223;419_194;462_194
12,__,__,9,8,423_246;451_235;455_218;476_216
13,__,__,3,10,;
14,__,__,3,4,260_92;209_58
15,__,__,7,6,387_241;356_241;349_258
16,__,__,7,2,387_241
17,__,__,7,9,;
18,__,__,7,1,379_217
19,__,__,7,10,379_217
20,__,__,5,4,204_56
21,__,__,5,3,;
22,__,___,3,12,263_0;1-2;356_400;358_354
23,__,___,4,12,220_0;1-2;322_400;358_354
24,__,___,4,11,152_0;1-2;254_400;204_294
25,___,___,12,11,203_298
26,___,__,12,19,349_340
27,___,___,12,15,349_340;381_311;386_226
28,___,__,11,19,;
29,___,___,11,22,175_158;154_150;113_174
30,___,___,11,20,174_158
31,__,___,19,21,208_188;153_148
32,__,___,19,20,208_188;173_160
33,__,___,19,15,313_260;386_226
34,___,____,15,13,;
35,___,___,15,16,357_177;331_95
36,____,___,13,14,461_161;463_115
37,___,___,14,16,387_45;350_54;
38,___,_____,16,18,280_89
39,___,__,16,17,286_57;286_50
40,___,___,16,20,;
41,__,_____,17,18,286_50
42,__,___,17,20,286_50;286_57;264_67
43,___,___,20,21,172_131;157_137
44,___,___,20,22,177_136;111_171
45,___,_____,20,18,;
46,___,__,22,23,86_189;41_231
47,__,__,23,24,24_314;2-3;560_165
48,__,__,23,28,0_230;2-3;555_104;480_104;393_100
49,__,____,23,27,0_254;2-3;555_104;480_164
50,__,_____,23,26,0_254;2-3;555_104;480_164
51,__,____,23,25,0_254;2-3;555_104;480_164
52,__,____,24,25,536_188
53,__,____,28,25,393_102;420_104
54,____,_____,25,26,464_235
55,_____,____,26,27,418_201
56,____,__,26,28,401_151;380_124
57,__,____,28,29,355_125
58,____,____,27,29,401_151;380_124;355_125
59,____,__,29,30,343_159
60,____,____,29,32,;
61,__,___,30,31,327_205
62,__,____,30,34,212_276
63,___,____,31,34,297_244
64,____,____,32,34,211_237;210_270
65,____,__,32,33,95_175
66,__,____,33,34,95_175;211_237;210_270
67,____,___,34,35,180_294
68,___,___,35,36,162_297;140_299
69,____,____,32,37,136_173;126_121;3-4;573_327;540_290
70,__,____,33,37,126_163;126_121;3-4;573_327;540_290
71,____,___,37,38,;
72,____,____,37,40,;
73,____,_____,37,39,;
74,___,____,38,40,500_231
75,___,_____,38,39,;
76,____,___,40,41,;
77,_____,___,39,41,;
78,___,___,41,42,447_81;401_36;348_30
79,___,___,42,43,330_38;281_155
80,___,___,43,44,;
81,___,___,43,45,;
82,___,___,44,45,;
83,___,_____,45,46,202_303;147_304;114_326
84,_____,__,46,47,92_350
85,__,____,47,70,0_259;4-5;610_88
86,__,___,47,71,0_354;4-5;610_180
87,___,____,71,92,397_178
88,___,____,71,70,461_135;581_62
89,___,____,71,72,397_178;329_180
90,____,_____,92,79,;
91,____,____,92,72,;
92,____,___,72,80,;
93,____,___,73,80,345_228
94,____,_____,72,79,;
95,____,___,72,78,;
96,____,____,72,73,327_186;305_187
97,_____,___,79,80,;
98,_____,___,79,78,290_217;324_218
99,_____,____,79,73,;
100,___,____,78,73,;
101,___,____,78,74,280_212
102,___,___,78,77,280_212;222_243;222_263
103,___,___,78,75,280_212;234_248
104,____,___,74,75,221_251;204_254
105,____,___,74,77,222_264
106,___,___,75,77,222_264
107,___,_____,75,76,;
108,_____,___,76,77,197_264
109,___,_____,80,65,610_282;5-6;0_117
110,___,___,80,66,610_300;5-6;0_151
111,__,_____,47,65,89_400;4-6;28_0
112,_____,____,65,64,;
113,___,___,66,67,;
114,_____,___,65,66,;
115,___,____,67,64,;
116,___,__,67,63,;
117,____,__,64,63,;
118,____,____,64,62,158_199;215_209;215_230
119,__,____,63,62,215_209;215_230
120,__,____,63,61,215_209
121,____,____,61,62,215_230;247_253
122,____,___,61,58,252_215;315_217
123,____,___,61,59,;
124,____,__,62,60,215_230;250_256
125,__,___,60,59,275_265
126,__,___,60,58,295_223;315_217
127,___,___,59,58,317_260;320_217
128,___,___,59,57,318_259
129,___,___,57,58,;
130,___,____,57,56,371_225;371_209
131,____,___,56,58,363_202;332_214
132,____,____,56,55,371_209
133,____,___,56,93,;
134,____,___,56,68,371_209;404_236
135,____,__,56,54,429_203;453_201
136,____,___,56,53,429_203;453_201
137,____,___,55,58,331_224
138,____,___,55,93,;
139,____,____,55,49,460_176
140,____,__,55,54,453_201
141,____,___,55,53,453_201
142,___,___,93,68,403_235
143,___,____,93,49,460_176
144,____,____,49,51,534_191
145,____,___,49,50,;
146,____,___,49,53,479_201
147,___,__,53,54,;
148,___,____,53,51,;
149,___,____,53,52,469_244
150,___,___,53,68,430_195
151,__,____,54,52,461_208;468_210;469_244
152,____,___,51,50,564_201
153,____,____,52,48,;
154,___,___,68,69,371_271
155,___,__,67,81,103_223;105_278;6-7;0_9
156,__,____,81,82,44_75;28_111;29_139
157,___,____,77,82,272_280;288_280;610_398;5-7;0_131
158,__,___,81,84,44_75;44_105;145_120;170_140
159,__,___,83,84,;
160,___,_____,84,85,215_192;250_190;252_175
161,_____,__,85,86,252_175;250_190;290_190
162,___,__,84,86,215_192;290_190
163,___,___,84,87,215_192;270_231
164,__,___,83,87,215_192;270_231
165,_____,___,85,87,252_175;250_190;270_231
166,__,___,86,87,290_190;270_231
167,___,____,87,89,367_228
168,___,___,87,88,338_227;326_207
169,____,_____,89,90,430_202
170,___,_____,88,90,392_206;430_202
171,____,__,89,91,430_202;534_262;553_260
172,_____,__,90,91,534_262;553_260
