selectId	select_lab	conditionList
stringId	name	string
signUp	签约	noSignUp
militaryInvest	军事投资	;
recommendLetter	使用推荐信	haveRecommendLetter
close	返回	;
drink	喝一杯	;
buyDrink	请喝酒	;
hireSailor	募集水手	;
spreadRumor	散播留言	canSpreadRumor
trade	交易	;
commerceInvest	商业投资	;
commerceInfo	物价资讯	;
buyShip	购买船只	;
sellShip	卖出船只	;
modifyShip	改造船只	;
fixShip	修理船只	;
dockYard	船坞	;
buyItem	购买宝物	;
sellItem	卖出宝物	;
taskList	接受委托	hasNoTask
cancelTask	中断委托	hasTask
mailLetter	发送交涉文书	;
sail	出航	;
supply	补给	;
dockAssignGoods	分配货物	;
sleep1day	住宿一日	;
sleepMultipledays	连续住宿	;
sleep3days	3日	;
sleep10days	10日	;
sleep30days	30日	;
npcInfo	船员情报	;
shipInfo	船只情报	;
itemInfo	持有道具	;
taskInfo	任务资讯	;
diaryInfo	航海日志	;
save	保存	;
load	读取	;
systemSetting	系统设置	;
menuScene	主界面	;
palace_leave	离开王宫	;
government_leave	离开总督府	;
guild_leave	离开同业公会	;
innLeave	离开旅馆	;
cancelSleep	取消	;
tavernLeave	离开酒馆	;
shipyardLeave	离开造船厂	;
exchangeLeave	离开交易所	;
dockLeave	离开码头	;
autoSail	自动移动	;
manualSail	出海	;
