storyId,description,command,parameter1,parameter2,parameter3,parameter4
groupId,-,int,string,string,string,string
1,停止背景音,11,0,0,0,0
1,等待3秒,7,1,0,0,0
1,播放海浪背景,9,seaWave.m4v,0,0,0
1,播放海鸥声音,10,seagull.m4v,0,0,0
1,添加图片,1,a,CG_1.png,1,1
1,设成黑色,5,a,0,0,0
1,恢复正常透明度,5,a,1,2,0
1,等待3秒,7,3,0,0,0
1,添加第二张图片b,1,b,CG_1.png,0,1
1,放大图片b,4,b,2,0,1
1,王左上移动图片b,3,b,0,1,0
1,图片a渐渐透明,5,a,0,2,0
1,等待3秒,7,3,0,0,0
1,移除图片a,6,a,0,0,0
1,移动图片b，向上,3,b,0,0,6
1,等待8秒,7,8,0,0,0
1,移动图片b，向左下,3,b,1,1,6
1,等待8秒,7,8,0,0,0
1,放大图片b到2.5倍,4,b,2.5,3,1
1,移动图片b到新的左下角,3,b,1.25,1.25,3
1,显示文字，库拉乌，\n你想给我看什么,13,1,0,0,0
1,等待6秒,7,6,0,0,0
1,播放bgm,9,city_2.mp3,0,0,0
1,移除文字,14,0,0,0,0
1,等待3秒,7,0,0,0,0
1,显示图片c,1,c,CG_2.png,0,1
1,设置c透明,5,c,0,0,0
1,c变成正常3秒,5,c,1,3,0
1,等待4秒,7,4,0,0,0
1,移除b,6,b,0,0,0
1,对话（行了，行了。去了就明白了。）,12,0,3,2,0
1,对话（拉斐尔，你对海上的英雄有什么看法？）,12,0,3,3,0
1,对话（恩，被你这么一问......。）,12,0,2,4,0
1,对话（在说什么呀。恩利科王子、列恩公爵，真帅啊。）,12,0,3,5,0
1,对话（大海果然是男人梦想的舞台。）,12,0,3,6,0
1,对话（又来了。一般来说没有船怎么能出海呢？）,12,0,2,7,0
1,对话（一点理想都没有的家伙啊。男人该多谈谈理想。）,12,0,3,8,0
1,备注：添加脚步声,100,0,0,0,0
1,对话（到了）,12,0,3,9,0
1,设置图片c透明,5,c,0,2,0
1,等待2秒,7,2,0,0,0
1,对话（呀，来了啊....。）,12,4,4,10,0
1,移除图片c,6,c,0,0,0
1,对话（！！）,12,2,2,11,0
1,加载图片d,1,d,CG_3.png,0,0
1,d透明,5,d,0,0,0
1,d大小两倍,4,d,2,0,1
1,d移动到右下角,3,d,0,1,0
1,d显示,5,d,1,2,0
1,等3秒,7,3,0,0,0
1,木匠声音,10,carpenter.wav,0,0,0
1,d图片移动到左下角,3,d,1,1,5
1,等待7秒,7,7,0,0,0
1,d图片移动到左上角,3,d,1,0,5
1,等待7秒,7,7,0,0,0
1,显示文字，是船。。。。,13,12,0,0,0
1,等待点击,8,0,0,0,0
1,移除文字,14,0,0,0,0
1,等待2秒,7,2,0,0,0
1,对话（怎么了？吓了一跳吧！名字已经取好了，叫“卡鲁提拉号”，好吧！）,12,3,3,13,0
